INSTNM,UNITID,Year,C100_4,C150_4,C150_4_NRA,COMPL_RPY_1YR_RT,COMPL_RPY_3YR_RT,COMPL_RPY_5YR_RT,DEBT_N,DEP_DEBT_MDN,DEP_DEBT_N,FEMALE_DEBT_MDN,FEMALE_DEBT_N,GRAD_DEBT_MDN,GRAD_DEBT_N,IND_DEBT_MDN,IND_DEBT_N,MALE_DEBT_MDN,MALE_DEBT_N,MD_INC_DEBT_MDN,MD_INC_DEBT_N,NOPELL_DEBT_MDN,NOPELL_DEBT_N,NOTFIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_N,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,PCTFLOAN,PCTPELL,PELL_DEBT_MDN,PELL_DEBT_N,WDRAW_DEBT_MDN,WDRAW_DEBT_N,MN_EARN_WNE_INDEP0_P6,MN_EARN_WNE_INDEP1_P6,MN_EARN_WNE_MALE0_P6,MN_EARN_WNE_MALE1_P6,D150_4,D150_4_2MOR,D150_4_AIAN,D150_4_ASIAN,D150_4_BLACK,D150_4_HISP,D150_4_NHPI,D150_4_NRA,D150_4_UNKN,D150_4_WHITE
Indiana University,151351,2013-14,0.5825,0.7705,0.6552,0.833515284,0.869283865,0.886893204,10432,18434,9841,18535.5,5278,23000,4408,17591,591,17955.5,5154,18342,3002,17819.5,5710,18500,8088,4632,8155,14812,19457,20534,0.3936,0.1937,18562,4722,12000,6061,41900,42000,38600,45300,7167,68,21,275,315,206,2,261,44,5975
University of Iowa,153658,2013-14,0.4752,0.6962,0.6415,0.747639035,0.808733838,0.882025598,8784,17500,7293,16022,4601,21500,4977,9706,1491,16004,4183,16750,2577,15000,5025,15836,6834,11351,13347,16046,18839,18985,0.4722,0.1906,18500,3759,8980,3840,42000,58600,42000,48300,4253,0,18,158,107,127,7,53,152,3631
University of Maryland,163286,2013-14,0.6572,0.8406,0.6596,0.83799639,0.857390443,0.907216495,8042,15500,6996,15750,3977,19000,5280,16000,1046,15249,4065,15500,2177,15000,4441,15469,6409,7740,11185,15134,19364,21160,0.3581,0.1907,16000,3601,10500,2791,47800,47600,43100,52000,4229,95,8,572,523,318,3,47,97,2566
University of Michigan - Ann Arbor,170976,2013-14,0.7579,0.8997,0.8652,0.785265439,0.813537997,0.864466706,7404,20250,7036,20016,3745,21500,6092,15653.5,368,20000,3659,21260,1959,19875,4357,20000,6223,5529,9397,13575,18598,23222,0.3665,0.157,20321,3047,8500,1329,53700,64000,48400,64500,5955,186,14,727,267,286,1,230,371,3873
Michigan State University,171100,2013-14,0.5044,0.7736,0.6225,0.722687975,0.810213844,0.872210953,13235,20375,12387,20500,7224,25000,8576,19675,848,19700,6011,23250,3765,18750,6564,20030,10073,6293,13088,18402,21666,22643,0.4845,0.2387,22200,6671,7554,4759,42800,41200,38900,47100,7398,103,31,298,589,232,2,355,110,5678
University of Minnesota,174066,2013-14,0.5447,0.754,0.6948,0.776033415,0.834032464,0.899765408,13638,16500,11395,16500,7443,20500,8550,17451,2243,16696,6195,16750,3957,15000,6959,16250,10800,9535,11211,15468,20493,22946,0.4516,0.2169,17699,6679,8005,5163,42000,56000,40900,49200,5256,0,64,598,261,128,0,154,61,3990
University of Nebraska,181464,2013-14,0.3234,0.6678,0.6316,0.77563425,0.84549092,0.895652174,7801,13076,7027,13250,3793,21500,4261,13105,774,13000,4008,13400,2631,12402,4006,13500,5906,11123,12109,15470,19063,19683,0.4022,0.1979,14074,3795,6500,3579,37800,38000,34300,40900,4214,0,20,107,117,163,0,76,308,3423
Rutgers University,186380,2013-14,0.571,0.7969,0.7344,0.713872544,0.772875179,0.844760269,19960,17500,16418,17076,10563,21069,13105,15945.5,3542,17500,9397,18464,5892,15000,8708,17083.5,13686,11659,13547,20396,25509,26648,0.5591,0.3105,19000,11252,8250,6966,44700,54000,44300,48500,5504,0,14,1493,497,493,0,64,169,2774
The Ohio State University,204796,2013-14,0.5852,0.8323,0.7687,0.701216447,0.761347162,0.818249627,19905,14250,16779,14250,10150,21500,10654,13211,3126,14000,9755,14462.5,6140,13500,9174,14500,13595,10026,12218,16953,20832,22369,0.4587,0.2224,14714,10731,6249,9330,39400,38900,35400,42900,6155,0,18,371,421,177,0,134,56,4978
Penn State University,214777,2013-14,0.6458,0.8484,0.7583,0.77762901,0.856110588,0.887947199,34687,19500,28529,19000,17186,26750,19906,15750,6158,19250,17501,19000,11073,18604.5,16292,19500,23127,19268,21229,25028,28929,30485,0.522,0.1768,19500,18395,7000,14936,41800,42200,37600,45300,6492,0,6,335,268,315,0,240,0,5328
University of Wisconsin,240444,2013-14,0.5503,0.8284,0.7426,0.86565124,0.895755443,0.922035598,8381,19547,7705,19688,4523,22332,6357,16130,676,19250,3858,20780,2335,18500,5444,19500,6839,8306,11137,16215,21188,22900,0.3616,0.1501,22200,2937,8700,2065,47000,47600,42900,51800,5980,0,55,373,181,220,0,303,190,4658
Purdue University,243780,2013-14,0.4179,0.6994,0.6806,0.832917291,0.895043184,0.921096149,9054,19500,8331,19500,3916,23180.5,6516,18750,723,19000,5138,19500,2790,18967.5,4564,19118,6828,7228,9375,14745,19995,21612,0.3878,0.2058,20000,4490,7500,2575,46700,51500,40900,51700,6830,0,36,400,299,216,0,407,41,5431
University of Illinois at Urbana-Champaign,145637,2012-13,0.686980999,0.8396,0.7798,0.803965582,0.868961353,0.907783418,9596,18250,9175,18750,4563,20250,7259,12500,421,17250,5033,18500,2851,17000,5257,17750,7302,8626,11980,18591,24421,26362,0.431,0.205,19000,4339,8298,2367,46700,44400,41300,50900,7152,85,8,844,541,628,6,327,57,4656
